,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
2822,Antwerp,1920,Aquatics,Diving,"PRIESTE, Harry",USA,Men,10m platform,M,Bronze
2823,Antwerp,1920,Aquatics,Diving,"PINKSTON, Clarence",USA,Men,10m platform,M,Gold
2824,Antwerp,1920,Aquatics,Diving,"ADLERZ, Erik",SWE,Men,10m platform,M,Silver
2825,Antwerp,1920,Aquatics,Diving,"OLLIVIER, Eva",SWE,Women,10m platform,W,Bronze
2826,Antwerp,1920,Aquatics,Diving,"FRYLAND CLAUSEN, Stefani",DEN,Women,10m platform,W,Gold
2827,Antwerp,1920,Aquatics,Diving,"ARMSTRONG, Beatrix Eileen",GBR,Women,10m platform,W,Silver
2828,Antwerp,1920,Aquatics,Diving,"BALBACH, Louis James",USA,Men,3m springboard,M,Bronze
2829,Antwerp,1920,Aquatics,Diving,"KUEHN, Louis",USA,Men,3m springboard,M,Gold
2830,Antwerp,1920,Aquatics,Diving,"PINKSTON, Clarence",USA,Men,3m springboard,M,Silver
2831,Antwerp,1920,Aquatics,Diving,"PAYNE, Thelma",USA,Women,3m springboard,W,Bronze
2832,Antwerp,1920,Aquatics,Diving,"RIGGIN, Aileen",USA,Women,3m springboard,W,Gold
2833,Antwerp,1920,Aquatics,Diving,"WAINWRIGHT, Helen",USA,Women,3m springboard,W,Silver
2834,Antwerp,1920,Aquatics,Diving,"JANSSON, John",SWE,Men,plain high diving,M,Bronze
2835,Antwerp,1920,Aquatics,Diving,"WALLMAN, Arvid",SWE,Men,plain high diving,M,Gold
2836,Antwerp,1920,Aquatics,Diving,"SKOGLUND, Nils",SWE,Men,plain high diving,M,Silver
2837,Antwerp,1920,Aquatics,Swimming,"BLITZ, Gerard",BEL,Men,100m backstroke,M,Bronze
2838,Antwerp,1920,Aquatics,Swimming,"KEALOHA, Warren Paoa",USA,Men,100m backstroke,M,Gold
2839,Antwerp,1920,Aquatics,Swimming,"KEGERIS, Raymond",USA,Men,100m backstroke,M,Silver
2840,Antwerp,1920,Aquatics,Swimming,"HARRIS, William",USA,Men,100m freestyle,M,Bronze
2841,Antwerp,1920,Aquatics,Swimming,"KAHANAMOKU, Duke Paoa",USA,Men,100m freestyle,M,Gold
2842,Antwerp,1920,Aquatics,Swimming,"KEALOHA, Pua Kela",USA,Men,100m freestyle,M,Silver
2843,Antwerp,1920,Aquatics,Swimming,"SCHROTH, Frances",USA,Women,100m freestyle,W,Bronze
2844,Antwerp,1920,Aquatics,Swimming,"BLEIBTREY, Ethelda",USA,Women,100m freestyle,W,Gold
2845,Antwerp,1920,Aquatics,Swimming,"GUEST, Irene",USA,Women,100m freestyle,W,Silver
2846,Antwerp,1920,Aquatics,Swimming,"BEAUREPAIRE, Frank E.",AUS,Men,1500m freestyle,M,Bronze
2847,Antwerp,1920,Aquatics,Swimming,"ROSS, Norman",USA,Men,1500m freestyle,M,Gold
2848,Antwerp,1920,Aquatics,Swimming,"VERNOT, George",CAN,Men,1500m freestyle,M,Silver
2849,Antwerp,1920,Aquatics,Swimming,"AALTONEN, Arvo Ossian",FIN,Men,200m breaststroke,M,Bronze
2850,Antwerp,1920,Aquatics,Swimming,"MALMROT, Hakan",SWE,Men,200m breaststroke,M,Gold
2851,Antwerp,1920,Aquatics,Swimming,"HENNING, Tor",SWE,Men,200m breaststroke,M,Silver
