Edition,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BRA,BUL,BWI,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUA,EUN,FIN,FRA,FRG,GBR,GDR,GEO,GER,GHA,GRE,GUY,HAI,HKG,HUN,INA,IND,IOP,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JPN,KAZ,KEN,KGZ,KOR,KSA,KUW,LAT,LIB,LTU,LUX,MAR,MAS,MDA,MEX,MGL,MKD,MOZ,MRI,NAM,NED,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RU1,RUS,SCG,SEN,SIN,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TRI,TUN,TUR,UAE,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,YUG,ZAM,ZIM,ZZX
1896,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,11.0,,7.0,,,33.0,,52.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,6.0
1900,,,,,,,5.0,6.0,,,,,39.0,,,2.0,,,,2.0,,,,,,,,2.0,,6.0,,,,,,2.0,,,,,,185.0,,78.0,,,40.0,,,,,,5.0,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,1.0,,,,,,,,,,,,,,,,,55.0,,,,,,,34.0
1904,,,,,,,,1.0,,,,,,,,,,,,35.0,,,,,,,,9.0,,,,,,,,,,,,,,,,2.0,,,13.0,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,394.0,,,,,,,8.0
1908,,,,19.0,,,,1.0,,,,,31.0,,,5.0,,,,51.0,,,,,,,,,,15.0,,,,,,,,,,,29.0,35.0,,347.0,,,22.0,,3.0,,,,18.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,44.0,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,63.0,,,,,,,
1912,,,,10.0,,,,14.0,,,,,19.0,,,,,,,8.0,,,,,,,,,,84.0,,,,,,,,,,,67.0,25.0,,160.0,,,52.0,,2.0,,,,30.0,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,22.0,,,76.0,,,,,,,,,,,,,7.0,14.0,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,,101.0,,,,,,,
1920,,,,,,,6.0,,,,,,188.0,,,,7.0,,,16.0,,,,,,,,,,75.0,,,,,,24.0,3.0,,,,49.0,141.0,,107.0,,,,,5.0,,,,,,,,,,,,,,84.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,48.0,,,141.0,1.0,,,,,,,,,,,,21.0,,,,,,,,,,29.0,,,146.0,,,10.0,,,,,,,,,,,,,,193.0,,,,,,,
1924,,,,,11.0,,10.0,4.0,,,,,38.0,,,,,,,20.0,,,,,,,,,,12.0,,,,,,,6.0,,,,52.0,122.0,,66.0,,,,,,,7.0,,20.0,,,,,,,,,,51.0,,1.0,,,,,,,,,,,,,,,,,,,,26.0,,,26.0,1.0,,,,,,5.0,3.0,,,,23.0,3.0,,,,,,,,,,65.0,,,80.0,,,10.0,,,,,,,,,,,,,22.0,198.0,,,,2.0,,,
1928,,,,,32.0,,4.0,4.0,,,,,5.0,,,,,,,33.0,1.0,,,,,,,,,13.0,,,,4.0,,3.0,9.0,,,,25.0,36.0,,55.0,,,72.0,,,,1.0,,20.0,,15.0,,,1.0,,,,,70.0,,8.0,,,,,,,,,,,,,,,,,,,,65.0,,,9.0,1.0,,,,,1.0,18.0,,,,,,6.0,,,,,,,,,,29.0,,,36.0,,,16.0,,,,,,,,,,,,,22.0,84.0,,,,12.0,,,
1932,,,,,4.0,,5.0,5.0,,,,,,,,,,,,38.0,,,,,,,,,,9.0,,,,,,1.0,,,,,29.0,37.0,,34.0,,,38.0,,,,,,32.0,,11.0,,,2.0,,,,,77.0,,31.0,,,,,,,1.0,,,,,,,2.0,,,,,,12.0,,,,2.0,,,,,3.0,19.0,,,,,,5.0,,,,,,,,,,1.0,,,31.0,,,4.0,,,,,,,,,,,,,1.0,181.0,,,,,,,
1936,,,,,11.0,,1.0,50.0,,,,,12.0,,,,,,,22.0,,,,,,,,,,6.0,,,,5.0,,,7.0,,,,26.0,43.0,,36.0,,,210.0,,,,,,42.0,,19.0,,,,,,,,71.0,,21.0,,,,,,,2.0,,,,,,,16.0,,,,,,37.0,,,28.0,1.0,,,,,1.0,9.0,3.0,,,,2.0,1.0,,,,,,,,,,47.0,,,34.0,,,17.0,,,,,,,,2.0,,,,,,92.0,,,,1.0,,,
