,Edition,AFG,AHO,ALG,ANZ,ARG,ARM,AUS,AUT,AZE,BAH,BAR,BDI,BEL,BER,BLR,BOH,BRA,BUL,BWI,CAN,CHI,CHN,CIV,CMR,COL,CRC,CRO,CUB,CZE,DEN,DJI,DOM,ECU,EGY,ERI,ESP,EST,ETH,EUA,EUN,FIN,FRA,FRG,GBR,GDR,GEO,GER,GHA,GRE,GUY,HAI,HKG,HUN,INA,IND,IOP,IRI,IRL,IRQ,ISL,ISR,ISV,ITA,JAM,JPN,KAZ,KEN,KGZ,KOR,KSA,KUW,LAT,LIB,LTU,LUX,MAR,MAS,MDA,MEX,MGL,MKD,MOZ,MRI,NAM,NED,NGR,NIG,NOR,NZL,PAK,PAN,PAR,PER,PHI,POL,POR,PRK,PUR,QAT,ROU,RSA,RU1,RUS,SCG,SEN,SIN,SLO,SRB,SRI,SUD,SUI,SUR,SVK,SWE,SYR,TAN,TCH,TGA,THA,TJK,TOG,TPE,TRI,TUN,TUR,UAE,UGA,UKR,URS,URU,USA,UZB,VEN,VIE,YUG,ZAM,ZIM,ZZX
0,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1900,,,,,,,-13.13476562500001,-32.30468750000001,,,,,,,,,,,,,,,,,,,,,,-35.25390625,,,,,,,,,,,,198.00248579545453,,114.3136160714286,,,-32.12594696969697,,0.0,,,,-37.711588541666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.73046875,,,,,,,,,,,,,,,,,,,,-9.4482421875,,,,,,,33.56119791666667
2,1904,,,,,,,0.0,-30.169386093070273,,,,,0.0,,,0.0,,,,903.1914893617021,,,,,,,,195.1063829787234,,0.0,,,,,,0.0,,,,,,0.0,,-31.90562325199603,,,-27.11772752797176,,-49.38216039279869,,,,-21.87136193563093,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,-27.563145943303457,,,0.0,,,,,,,,,,,,,,,,,199.65124510248216,,,,,,,-22.642384140302106
3,1908,,,,,,,0.0,-23.01350971540209,,,,,-24.69064931751499,,,29.601990049751237,,,,20.623816231673043,,,,,,,,0.0,,-9.160582207114254,,,,,,0.0,,,,,,-26.649045909566972,,134.4892179985125,,,-18.67232799739541,,-32.619800520475785,,,,3.9444067735261212,,0.0,,,,,,,,5.7213930348258835,,,,,,,,,,,,,,,,,,,,,,-32.48756218905473,,,105.6661138750691,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3070.3980099502487,,,,,,,,,,,,,,,,,-19.549222067076922,,,,,,,0.0
4,1912,,,,-26.092774308653,,,0.0,6.254437920769984,,,,,-20.85819051132648,,,0.0,,,,-20.219098602266104,,,,,,,,0.0,,76.53454035167371,,,,,,0.0,,,,,54.94447691408533,-20.56498232639529,,2.793012214648405,,,-6.634381945194456,,-24.518978553919734,,,,13.7298991454051,,0.0,,,,,,,,62.430574941841144,,,,,,,,,,,,,,,,,,,,,,-1.9127437143249604,,,45.84635289133272,,,,,,,,,,,,,108.98305084745763,161.97740112994353,,,,,,,,,0.0,,,71.8962260596268,,,,,,,,,,,,,,,,,-12.105732646470413,,,,,,,0.0
5,1920,,,,0.0,,,-19.940999730635866,0.0,,,,,54.75788713959784,,,0.0,,,,-13.46268504597764,,,,,,,,0.0,,8.010744913235035,,,,,,186.67180277349772,,,,,-10.817808045373955,-2.824039702780601,,-8.241291316516053,,,0.0,,-19.13098905791496,,,,0.0,,0.0,,,,,,,,95.5935037428043,,,,,,,,,,,,,,,,,,,,,,10.739637408265068,,,26.505494954215013,,,,,,,,,,,,,70.40477770404779,0.0,,,,,,,,,6.367706654225569,,,1.4184908054899692,,,,,,,,,,,,,,,,,-6.915096557650157,,,,,,,0.0
6,1924,,,,0.0,,,5.702839118349967,-10.77690987032619,,,,,-7.763449395232103,,,0.0,0.0,,,-5.112272278183694,,,,,,,,0.0,,-11.589529913501506,,,,,,0.0,96.83257918552037,,,,4.504950853354406,2.04636213069771,,-7.157549018164156,,,0.0,,0.0,,,,-0.17141715510211597,,0.0,,,,,,,,23.971652933042087,,-25.52790346907995,,,,,,,,,,0.0,,,,,,,,,,0.5348516617199373,,,-11.18117296924791,23.416289592760187,,,,,,,,,,,,-15.422719231474048,0.0,,,,,,,,,57.64272072033725,,,-3.2335774795215544,,,23.416289592760165,,,,,,,,,,,,,,-0.7594205603769888,,,,,,,0.0
7,1928,,,,0.0,131.10115236875802,,-8.427271110456779,-7.2409376422389204,,,,,-14.855514101157585,,,0.0,0.0,,,7.156429872164094,,,,,,,,0.0,,-7.64638215744291,,,,,,-20.755766345812944,59.54605795693701,,,,-6.479940635166037,-8.510922160263712,,-5.52969332118648,,,3.922316499561984,,0.0,,-41.10663983903421,,3.3482968166083316,,220.4225352112676,,,,,,,,33.84491105432219,,184.87445177393474,,,,,,,,,,0.0,,,,,,,,,,36.315242949249,,,-13.100615068069255,16.04342830585712,,,,,,174.11267605633807,0.0,,,,0.0,2.5580939086316645,0.0,,,,,,,,,6.132770981191182,,,-8.576808546889293,,,45.66948528937145,,,,,,,,,,,,,12.25352112676057,-6.2005071442882365,,,,323.5211267605632,,,0.0
8,1932,,,,0.0,-25.79420580620565,,-1.468835254753731,-2.91014198348587,,,,,0.0,,,0.0,0.0,,,10.776137732995196,0.0,,,,,,,0.0,,-7.472397604250025,,,,0.0,,-20.4190852383625,0.0,,,,-0.5329732165968548,-5.9467367436292555,,-6.430489867441336,,,-3.9387339639688657,,0.0,,0.0,,15.077764249114,,14.300247178295944,,,65.4471544715447,,,,,26.79312832059577,,231.99989259623854,,,,,,,,,,0.0,,,,,,,,,,-7.185237396401922,,,0.0,48.68456850360754,,,,,123.17073170731705,33.08842553023208,0.0,,,,0.0,0.9674293206330953,0.0,,,,,,,,,-13.552698921988181,,,-6.745561195757965,,,-13.260259277486064,,,,,,,,,,,,,-31.393192567718998,3.7391844284543785,,,,0.0,,,0.0
9,1936,,,,0.0,-10.271982481249841,,-12.42723264697826,50.59850597139102,,,,,-10.735020209416424,,,0.0,0.0,,,-3.511028311843367,0.0,,,,,,,0.0,,-8.847963417647964,,,,0.7142857142857117,,0.0,2.554997246789159,,,,-5.524782727082633,-6.052107165087928,,-6.6495564932688715,,,24.108010801098946,,0.0,,0.0,,8.53974570890883,,12.945064908807268,,,0.0,,,,,5.872371606489013,,9.485578250132232,,,,,,,20.285714285714285,,,0.0,,,,231.14285714285714,,,,,,2.0066139519884896,,,-5.406184911040923,-6.0672224932742935,,,,,-21.2136351808483,-12.538012279442967,0.5142857142857116,,,,-45.60745341614907,-12.181343954597567,0.0,,,,,,,,,12.009509058452593,,,-7.046152505164615,,,12.343451665277527,,,,,,,,,,,,,0.0,-5.397316711277577,,,,-29.357594184996906,,,0.0
