Edition,NOC,Change
1896,GRE,
1900,FRA,198.00248579545453
1904,USA,199.65124510248216
1908,GBR,134.4892179985125
1912,SWE,71.8962260596268
1920,BEL,54.75788713959784
1924,FRA,2.04636213069771
1928,NED,36.315242949249
1932,USA,3.7391844284543785
1936,GER,24.108010801098946
1948,GBR,-3.635059322888756
1952,FIN,0.1216618966010774
1956,AUS,54.61506316616121
1960,ITA,5.596173694600548
1964,JPN,23.526654409434357
1968,MEX,7.546288617798647
1972,FRG,35.22862309480757
1976,CAN,-2.143976598610964
1984,USA,1.304939048657272
1988,USA,-1.6310744178361758
1992,ESP,32.943248147559466
1996,USA,-1.0103776406153009
2000,AUS,12.554985976324517
2004,GRE,-2.4786345770191454
2008,CHN,13.251332104552805
